Com N Year NB 	P 	Z 	D 	L10 	   L50  Slope Btype
1   1 1936 24  4240  8  .68750  19.200   84.50 1.27 0
1   2 1937 20  4240  8  .68750  26.200   74.20 1.81 0
1   3 1937 14  4240  8  .68750  11.100   68.10 1.04 0
1   4 1937 19  4240  8  .68750  11.800   66.80 1.09 0
1   5 1937 18  4240  8  .68750  13.500   79.40 1.06 0
1   6 1938 21  2530  9  .50000   5.800   25.70 1.27 0
1   7 1938 28  4240  8  .68750  18.300   44.70 2.10 0
1   8 1938 27  4240  8  .68750   5.620   73.20  .73 0
1   9 1940 20  4240  8  .68750  15.800   82.70 1.14 0
1  10 1940 22  4240  8  .68750   8.700   41.60 1.20 0
1  11 1940 19  4240  8  .68750  11.600  160.00  .72 0
1  12 1940 15  1940  9  .43750  20.600   71.40 1.52 0
1  13 1940 15  1940  9  .43750  14.500   88.20 1.04 0
1  14 1940 15  2536  9  .50000  12.100   33.10 1.87 0
1  15 1940 14  2536  9  .50000  15.100   46.40 1.67 0
1  16 1940 15  2536  9  .50000  14.000   43.60 1.66 0
1  17 1940 14  2536  9  .50000  19.300   51.80 1.91 0
1  18 1940 26  4240  8  .68750  46.200  110.00 2.17 0
1  19 1940 14  4240  8  .68750  30.000   88.20 1.74 0
1  20 1942 20  4240  8  .68750  21.100   57.40 1.89 0
1  21 1942 20  4240  8  .68750  17.300   45.70 1.94 0
1  22 1942 37  4240  8  .68750  37.500  118.00 1.64 0
1  23 1942 36  4240  8  .68750  20.300   77.10 1.41 0
1  24 1942 32  4240  8  .68750   4.030   42.50  .80 0
1  25 1941 28  2544  8  .53125   8.380   84.70  .81 0
1  26 1943 23  3975  8  .59375   1.790   13.50  .93 0
1  27 1942 30  4400 10  .62500  11.700   45.10 1.39 0
1  28 1942 31  6920  8  .87500   4.150   15.80 1.41 0
1  29 1943 30   990  9  .31250   7.230   41.00 1.09 0
1  30 1943 30  1509  7  .43750  22.900  110.00 1.20 0
1  31 1943 30   932  7  .34375   9.540   31.60 1.57 0
1  32 1944 26  3180  8  .59375   6.280   23.00 1.45 0
1  33 1944 29  3180  8  .59375   4.810   21.20 1.27 0
1  34 1944 33  8640 10  .87500   4.170   12.80 1.68 0
1  35 1944 26 14080  8 1.25000   5.420   31.60 1.07 0
1  36 1951 28  1940  9  .43750   7.470   49.50 1.00 0
1  37 1951 34  2330  9  .43750   4.800   21.30 1.26 0
1  38 1951 27  1550  9  .43750  14.800   78.40 1.13 0
1  39 1951 29  1165  9  .43750  84.900  460.00 1.11 0
1  40 1951 27  2910  9  .43750   3.400   16.50 1.19 0
1  41 1951 27  3880  9  .43750   1.240    3.23 1.97 0
1  42 1951 26   776  9  .43750 241.000  951.00 1.37 0
1  43 1951 30 19750  8 1.75000   3.010   12.60 1.31 0
1  44   NA 30  2112  8  .68750  89.100  486.00 1.11 0
1  45   NA 30  4224  8  .68750  15.200  104.00  .98 0
1  46   NA 30  8448  8  .68750   2.040   10.20 1.17 0
1  47   NA 30  2112  8  .62500  51.000  376.00  .94 0
1  48   NA 30  4224  8  .62500   5.260   58.80  .78 0
1  49   NA 30  8448  8  .62500    .883    4.94 1.09 0
1  50 1944 30  4224  8  .68750  14.800   57.40 1.39 0
2   1 1940 19   570 10  .18750   6.680   13.40 2.72 1
2   2 1944 20   570  9  .31250  29.800   70.00 2.22 1
2   3 1946 23   580  9  .25000  16.300   55.10 1.55 1
2   4 1946 23   580  9  .25000  28.500   69.20 2.13 1
2   5 1947 23   580  9  .25000  16.400   49.30 1.71 1
2   6 1943 10   665  9  .25000  10.300   40.10 1.50 1
2   7 1944 10   665  9  .25000  25.700   46.40 3.19 1
2   8 1942 19   580 10  .25000   9.550   39.60 1.32 1
2   9 1946 33   620 10  .25000  17.900   62.10 1.51 1
2  10 1947 15   620 10  .25000  19.900   73.20 1.45 1
2  11 1947 31   620 10  .25000  12.900   50.40 1.39 1
2  12 1944 19   625 10  .25000  19.300   46.20 2.18 1
2  13 1941 17   720 10  .25000  11.100   23.30 2.54 1
2  14 1946 60   980 11  .28125  15.700   43.50 1.85 1
2  15 1947 32   980 11  .28125  11.200   38.10 1.54 1
2  16 1950 49   600 11  .31250 417.000  809.00 2.85 1
2  17 1949 60   600 11  .31250 216.000  709.00 1.58 1
2  18 1943 20   900 11  .31250  35.600  100.00 1.82 1
2  19 1946 67  1220 11  .31250  12.000   42.20 1.50 1
