Velocidad	MvN
298.05	M
298.07	M
297.99	M
298.1	M
297.98	M
298.92	M
298.06	M
298.19	M
297.91	M
298.41	M
298.04	M
298.12	M
298.1	M
298.13	M
298.09	M
298.03	M
298.11	M
298.04	M
298.01	M
298.16	M
298.1	M
298.15	M
297.95	M
298	M
297.95	M
298.05	M
298.09	M
298.13	M
298.05	M
298.04	M
297.94	M
298.09	M
298.05	M
298.07	M
298.03	M
298	M
297.95	M
298.07	M
298.03	M
298.12	M
297.95	M
298.11	M
298.06	M
298.06	M
298.05	M
298.06	M
298.01	M
298.06	M
298.07	M
297.99	M
298.07	M
298	M
298	M
298.1	M
297.92	M
298.05	M
298.1	M
298.09	M
298	M
298.09	M
298.04	M
298.06	M
298.05	M
298.04	M
298.19	M
298.11	M
299.85	N
299.74	N
299.9	N
300.07	N
299.93	N
299.85	N
299.95	N
299.98	N
299.98	N
299.88	N
300	N
299.98	N
299.93	N
299.65	N
299.76	N
299.81	N
300	N
300	N
299.96	N
299.96	N
299.96	N
299.94	N
299.96	N
299.94	N
299.88	N
299.8	N
299.85	N
299.88	N
299.9	N
299.84	N
299.83	N
299.79	N
299.81	N
299.88	N
299.88	N
299.83	N
299.8	N
299.79	N
299.76	N
299.8	N
299.88	N
299.88	N
299.88	N
299.86	N
299.72	N
299.72	N
299.62	N
299.86	N
299.97	N
299.95	N
299.88	N
299.91	N
299.85	N
299.87	N
299.84	N
299.84	N
299.85	N
299.84	N
299.84	N
299.84	N
299.89	N
299.81	N
299.81	N
299.82	N
299.8	N
299.77	N
299.76	N
299.74	N
299.75	N
299.76	N
299.91	N
299.92	N
299.89	N
299.86	N
299.88	N
299.72	N
299.84	N
299.85	N
299.85	N
299.78	N
299.89	N
299.84	N
299.78	N
299.81	N
299.76	N
299.81	N
299.79	N
299.81	N
299.82	N
299.85	N
299.87	N
299.87	N
299.81	N
299.74	N
299.81	N
299.94	N
299.95	N
299.8	N
299.81	N
299.87	N
